annotation_id	well	score	is_outlier	n_outlier_cells	n_infected_cells	n_non_infected_cells	serum_background_intensity	serum_background_variance
A05_0001	A05	1.0465332913067382	0	10	339	129	3803.1191	127.22241
A05_0002	A05	1.0423937241738375	0	9	312	139	3861.072	149.8147
A05_0003	A05	1.044289310290597	0	12	395	127	3758.0264	124.56616
A05_0004	A05	1.0531255278659795	0	23	480	242	3717.148	142.96057
A05_0005	A05	1.0459410047471032	0	25	468	171	3802.3647	148.68091
A05_0006	A05	1.035526292561998	0	7	365	113	3873.6904	141.77466
A05_0007	A05	1.031466700277115	0	9	254	97	3805.395	132.5332
A05_0008	A05	1.0460330135493978	0	24	405	107	3788.5564	133.0398
A06_0000	A06	1.0945543188293754	0	12	508	170	4750.863	252.62402
A06_0001	A06	1.1274593598966651	0	18	500	194	4492.6533	222.82861
A06_0002	A06	1.0961839987370403	0	17	327	186	4609.786	233.9917
A06_0003	A06	1.1013908999356492	0	9	436	175	4582.0293	255.21533
A06_0004	A06	1.1027700725066467	0	17	478	172	4314.929	175.90381
A06_0005	A06	1.1098831749818623	0	14	371	198	4460.6543	171.60547
A06_0006	A06	1.1260214577487957	0	13	357	166	4883.3125	243.40942
A06_0007	A06	1.1013527456137444	0	14	408	187	4534.6123	253.13525
A06_0008	A06	1.103509367533564	0	12	364	151	4467.1943	177.58667
A07_0000	A07	1.0479803772961456	0	12	348	95	3927.7695	143.44128
A07_0001	A07	1.0537503568621431	0	9	346	111	3819.7979	139.77783
A07_0002	A07	1.0430718624387605	0	10	417	105	3874.6804	178.82617
A07_0003	A07	1.0772290962622202	0	15	445	122	3761.0356	123.68872
A07_0004	A07	1.069809454105163	0	26	498	229	3684.5217	141.80664
A07_0005	A07	1.04202930641839	0	12	405	117	3773.436	133.73975
A07_0006	A07	1.0595864711014114	0	13	498	125	3870.5332	136.37195
A07_0007	A07	1.0453304666647223	0	9	405	98	3815.637	173.1211
A07_0008	A07	1.0440802585032014	0	17	348	106	3808.5684	133.20825
A08_0000	A08	1.046630058184016	0	12	315	142	3923.6355	138.4585
A08_0001	A08	1.0496847223015264	0	8	479	145	3815.3967	143.7157
A08_0002	A08	1.0492439274282759	0	14	405	130	3912.4387	161.64404
A08_0003	A08	1.069908968704017	0	14	426	125	3771.329	130.74463
A08_0004	A08	1.0588823365033198	0	10	472	115	3695.0757	139.6753
A08_0005	A08	1.0561362488593775	0	13	424	106	3811.481	144.11658
A08_0006	A08	1.0611326895874114	0	16	472	104	3865.911	136.43286
A08_0007	A08	1.0663345792444194	0	22	425	164	3766.7512	139.49976
A08_0008	A08	1.0537139561976	0	17	329	107	3820.4688	132.7976
A09_0000	A09	1.0833004738407839	0	7	322	118	3979.2886	135.29102
A09_0001	A09	1.0742460517328218	0	11	406	146	3929.1343	153.4082
A09_0002	A09	1.0628378061254373	0	5	301	90	4020.1257	146.17908
A09_0003	A09	1.065570589130289	0	14	422	122	4025.5813	166.75464
A09_0004	A09	1.071518006096837	0	7	339	126	3783.5193	144.73438
A09_0005	A09	1.1140679966732092	0	17	484	134	3876.6672	185.88428
A09_0006	A09	1.0938090479881257	0	14	430	147	3988.4175	173.18848
A09_0007	A09	1.0795748093895994	0	16	363	128	3818.5715	138.95435
A09_0008	A09	1.072094935185928	0	18	425	155	4021.6072	157.19727
A10_0000	A10	nan	1	17	438	115	4254.3193	175.88037
A10_0001	A10	1.035941851089181	0	13	372	124	3987.9248	154.2312
A10_0002	A10	1.0520126800420482	0	11	280	70	4063.0903	157.55908
A10_0003	A10	1.0392437261144245	0	8	512	129	4033.2495	146.28833
A10_0004	A10	1.0409658696721895	0	13	442	129	3874.643	144.20667
A10_0005	A10	1.0459753569880899	0	12	401	92	4027.2354	148.94849
A10_0006	A10	1.0312944109092634	0	16	506	144	4024.8235	148.6189
A10_0007	A10	1.0447590184075717	0	11	438	135	3940.9553	135.9187
A10_0008	A10	1.0567078554757474	0	11	321	78	4034.7676	140.04749
A11_0000	A11	1.098406403538836	0	13	331	116	4043.7285	144.7279
A11_0001	A11	1.1017216845885223	0	28	504	159	3923.9895	155.55005
A11_0002	A11	1.0917702789973978	0	12	353	117	4004.9392	139.69702
A11_0003	A11	1.1136401476924584	0	22	433	107	3901.7903	139.85608
A11_0004	A11	1.0900022578401385	0	16	577	169	3780.5303	168.15161
A11_0005	A11	1.1062886418122766	0	18	511	198	3873.56	157.30994
A11_0006	A11	1.0662475922893675	0	16	532	172	3909.8552	168.74463
A11_0007	A11	1.0895399077858217	0	24	653	157	3942.3262	194.90833
A11_0008	A11	1.079663161538318	0	23	502	149	3952.1445	141.23901
A12_0000	A12	1.0785506153112385	0	21	475	228	4131.755	167.41504
A12_0001	A12	1.10095616833549	0	19	560	120	4008.4163	166.07312
A12_0002	A12	1.0854350461885058	0	14	409	204	3990.3743	165.01294
A12_0003	A12	1.0746714829251907	0	10	374	126	3865.6423	137.58325
A12_0004	A12	1.0796899332381318	0	8	487	155	3773.1555	170.25366
A12_0005	A12	1.1024629804665402	0	14	540	119	3912.8203	152.07959
A12_0006	A12	1.0861822379984147	0	8	412	118	4084.9043	174.05981
A12_0007	A12	1.0692184354582377	0	10	537	136	3918.2314	187.35669
A12_0008	A12	1.0847454366874554	0	21	545	232	3819.4556	183.58154
B01_0000	B01	nan	1	16	11	500	3648.123	123.83057
B01_0001	B01	nan	1	11	12	504	3528.274	121.299194
B01_0002	B01	nan	1	23	9	565	3578.9966	130.17078
B01_0003	B01	nan	1	25	12	728	3475.1597	130.07031
B01_0004	B01	nan	1	14	6	580	3418.3896	127.434814
B01_0005	B01	nan	1	22	12	564	3507.4023	116.61145
B01_0006	B01	nan	1	18	15	579	3612.3606	128.41504
B01_0007	B01	nan	1	15	5	588	3504.702	117.291016
B01_0008	B01	nan	1	26	7	697	3588.0447	147.71118
B02_0000	B02	1.6592459192576117	0	7	454	131	4026.706	183.56226
B02_0001	B02	1.7763909695218683	0	15	439	200	3932.2104	186.39917
B02_0002	B02	1.8702874027896466	0	15	400	160	3963.532	153.03369
B02_0003	B02	1.779154111587284	0	13	377	162	3854.8735	173.45691
B02_0004	B02	1.6988081917537126	0	17	584	204	3892.9941	236.60938
B02_0005	B02	1.7601872293222023	0	5	336	87	3851.8975	150.05676
B02_0006	B02	1.7992258821490623	0	8	355	75	3965.9194	159.05432
B02_0007	B02	1.7318139318015877	0	17	480	115	3814.6377	155.7699
B02_0008	B02	1.6427587205031187	0	11	519	113	3918.7285	207.41992
B03_0000	B03	1.6878242079963734	0	5	312	93	4046.6228	149.15088
B03_0001	B03	nan	1	12	368	69	4007.2646	168.0603
B03_0002	B03	1.5672228254457072	0	11	414	75	3990.4456	149.29688
B03_0003	B03	1.6366759252137133	0	11	344	206	3945.4404	136.05847
B03_0004	B03	1.66499118998541	0	14	387	156	3833.3843	141.8689
B03_0005	B03	1.6777061919732579	0	9	510	180	3954.5835	193.11084
B03_0006	B03	1.711049840379223	0	4	285	99	4001.3127	148.79443
B03_0007	B03	1.56308191418094	0	22	588	133	3967.8555	195.2544
B03_0008	B03	1.5490359195948256	0	14	498	133	4043.893	191.40417
B04_0000	B04	1.719293958432921	0	8	393	165	4133.1904	178.1853
B04_0001	B04	1.8562367081641038	0	13	328	194	4066.5347	189.55078
B04_0002	B04	1.7687085884318394	0	8	408	113	4124.8086	192.927
B04_0003	B04	1.770286122129342	0	19	391	87	4081.3188	182.28955
B04_0004	B04	1.705087551384491	0	8	342	145	3897.6936	149.5896
B04_0005	B04	1.628077280645198	0	18	532	159	4107.565	191.01831
B04_0006	B04	1.6768283969362099	0	16	491	112	4238.0903	159.80432
B04_0007	B04	1.664948579668714	0	9	365	89	4084.2598	149.59021
B04_0008	B04	1.7045334610526925	0	9	463	169	4032.2334	189.46777
B05_0000	B05	1.0711736339527094	0	8	322	87	4026.2605	149.71729
B05_0001	B05	1.0579920785354942	0	15	378	143	3992.561	170.87256
B05_0002	B05	1.0819195629193452	0	14	325	178	4011.787	171.65259
B05_0003	B05	nan	1	2	9	0	4282.2793	212.71423
B05_0004	B05	nan	1	1	7	0	4253.5977	214.59814
B05_0005	B05	1.0608187020239743	0	10	454	146	4007.4321	151.04297
B05_0006	B05	1.0738847232571016	0	19	445	110	4134.882	158.04944
B05_0007	B05	1.0542241387107212	0	13	517	94	4056.5864	156.80566
B05_0008	B05	1.087107406538006	0	27	466	100	4025.0137	157.07227
B06_0000	B06	1.0646516473137397	0	16	482	137	4102.8496	177.6023
B06_0001	B06	1.112543809898451	0	13	322	114	4032.2502	141.64673
B06_0002	B06	1.1056153548112664	0	10	341	144	4068.1084	150.5951
B06_0003	B06	1.0889462208535408	0	15	253	69	3920.5293	153.9187
B06_0004	B06	1.0992371297117391	0	19	438	192	4006.6099	167.3601
B06_0005	B06	1.0967748689424743	0	16	418	131	4030.0022	172.08301
B06_0006	B06	1.115496454988068	0	21	362	85	4152.915	176.89551
B06_0007	B06	1.1006503631114826	0	7	576	149	3966.611	184.58667
B06_0008	B06	1.1103490518626178	0	15	272	88	4070.8054	144.20532
B07_0000	B07	1.1053187952246837	0	9	343	153	4017.2866	166.41248
B07_0001	B07	1.1264968114096445	0	15	498	200	4019.3845	171.66748
B07_0002	B07	1.1405006066204648	0	6	394	111	3994.1826	154.2605
B07_0003	B07	1.103355282663053	0	11	390	145	3921.3013	153.91321
B07_0004	B07	1.1179105442120585	0	20	446	183	3906.6846	192.19385
B07_0005	B07	1.097073764595961	0	9	329	86	3985.698	155.09985
B07_0006	B07	1.1005216990809819	0	6	462	100	4073.1672	164.552
B07_0007	B07	1.1279911298506404	0	13	454	197	4015.2036	168.81152
B07_0008	B07	1.1249268511042847	0	13	391	111	3993.1604	152.49414
B08_0000	B08	1.069032944948282	0	12	346	131	3859.2983	148.54419
B08_0001	B08	1.087576090203732	0	30	465	159	3822.4048	140.46533
B08_0002	B08	1.0894466106880638	0	18	533	195	3909.54	156.04395
B08_0003	B08	1.086795414017097	0	20	412	183	3855.2422	135.93176
B08_0004	B08	1.071865392565841	0	26	501	203	3760.7988	156.29272
B08_0005	B08	1.0652458549192525	0	12	396	145	3803.6519	134.43433
B08_0006	B08	1.0637817558784812	0	17	466	88	3701.1934	138.88403
B08_0007	B08	1.0525819305465047	0	20	360	94	3674.08	150.05542
B08_0008	B08	1.0662427735011482	0	11	407	128	3837.625	156.37817
B09_0000	B09	1.0498987568227311	0	15	445	105	3898.6997	143.5774
B09_0001	B09	1.0477839104287399	0	11	441	122	3840.48	161.79468
B09_0002	B09	1.0544345588497819	0	13	352	128	3799.3472	133.19043
B09_0003	B09	1.0331890602782643	0	19	387	118	3710.7266	147.2539
B09_0004	B09	1.0561513404962293	0	15	330	108	3684.3442	125.57373
B09_0005	B09	1.0428103808838027	0	29	435	112	3750.376	129.46973
B09_0006	B09	1.0436221037968847	0	11	424	150	3833.6235	135.0719
B09_0007	B09	1.0425512893898563	0	11	425	115	3724.5852	143.52588
B09_0008	B09	1.0426187132157425	0	12	434	185	3772.738	136.28223
B10_0000	B10	1.0739131571090172	0	7	326	125	4005.7861	143.63489
B10_0001	B10	1.0758637203086434	0	7	297	97	3942.043	154.57764
B10_0002	B10	1.0761668177218935	0	13	403	152	4046.5132	145.13757
B10_0003	B10	1.078727149071608	0	18	381	102	3894.6604	139.60535
B10_0004	B10	1.072136904065319	0	15	379	145	3802.5676	133.6106
B10_0005	B10	1.0697636926175367	0	15	369	101	3905.0583	152.05249
B10_0006	B10	1.0800957692149082	0	20	473	153	3959.4727	135.35669
B10_0007	B10	1.0768852850592268	0	16	488	122	3881.9678	141.4292
B10_0008	B10	1.0923257193684068	0	16	506	178	3921.1772	146.99341
B11_0000	B11	1.0420362895563005	0	12	255	99	3987.0505	144.12854
B11_0001	B11	1.0777813588820622	0	7	345	89	3851.295	139.3208
B11_0002	B11	1.055072031280313	0	21	392	170	3999.0947	189.24634
B11_0003	B11	1.0622023683015018	0	12	418	141	3807.4927	136.77979
B11_0004	B11	1.0796431810967067	0	12	417	103	3806.373	141.39185
B11_0005	B11	1.0739073600529239	0	5	350	153	4000.1572	146.66125
B11_0006	B11	1.0650597127730408	0	25	471	115	4010.4485	131.2439
B11_0007	B11	1.077082845544388	0	21	483	122	3908.1787	140.5647
B11_0008	B11	1.0737663048302901	0	18	567	174	3419.1226	70.06421
B12_0000	B12	1.0169028632225847	0	2	387	65	3997.788	134.68347
B12_0001	B12	1.0608259110000893	0	12	360	101	3911.7302	150.1051
B12_0002	B12	1.057190258371768	0	17	455	157	3990.2903	149.22266
B12_0003	B12	1.0435448490813282	0	18	552	118	3862.2068	145.63379
B12_0004	B12	1.0666008717822189	0	17	478	187	3766.13	141.93457
B12_0005	B12	1.05426218872192	0	15	444	144	3902.2485	152.1897
B12_0006	B12	1.0481617269604442	0	7	367	97	4018.3633	137.3429
B12_0007	B12	1.0461752362426546	0	28	600	162	3967.642	150.09424
B12_0008	B12	1.0618426591744752	0	22	515	167	3886.8384	138.26074
C01_0000	C01	nan	1	18	11	594	3616.2764	128.75
C01_0001	C01	nan	1	13	4	522	3467.0393	123.832275
C01_0002	C01	nan	1	10	3	377	3512.2917	122.0603
C01_0003	C01	nan	1	16	12	674	3452.009	124.32715
C01_0004	C01	nan	1	18	3	431	3397.987	123.279785
C01_0005	C01	nan	1	19	11	677	3559.7153	139.15845
C01_0006	C01	nan	1	12	11	549	3560.66	125.05371
C01_0007	C01	nan	1	18	10	534	3488.2073	118.980225
C01_0008	C01	nan	1	22	14	785	3535.1516	130.0581
C02_0000	C02	1.804899305391673	0	8	334	96	3924.7712	152.0127
C02_0001	C02	1.7611062337144188	0	12	346	83	3879.4631	167.52026
C02_0002	C02	1.75562538265952	0	10	300	61	3857.5205	144.73718
C02_0003	C02	1.572466535786817	0	11	460	102	3869.2415	158.98438
C02_0004	C02	1.6182407710539592	0	13	537	184	3891.0652	201.32324
C02_0005	C02	1.7157432044290521	0	6	399	122	3916.8877	162.77405
C02_0006	C02	1.7320932289724655	0	23	494	156	3893.183	143.89551
C02_0007	C02	1.7241392208905495	0	7	474	115	3776.1865	149.37695
C02_0008	C02	1.6918476255093697	0	16	409	90	3789.3496	156.30981
C03_0000	C03	1.6611910774767953	0	16	472	229	4122.126	222.93262
C03_0001	C03	1.6914131752859265	0	20	387	183	3901.19	163.4104
C03_0002	C03	1.7796577110606036	0	11	275	137	3999.8909	175.89087
C03_0003	C03	1.6419027889236002	0	12	432	217	3891.5232	153.32361
C03_0004	C03	1.563025046181698	0	9	424	89	3840.967	149.83032
C03_0005	C03	1.5671142247323044	0	12	384	148	4030.7874	161.98804
C03_0006	C03	1.698483858196853	0	13	366	162	4034.0168	164.61377
C03_0007	C03	1.54858481757943	0	4	366	119	3912.395	169.66406
C03_0008	C03	1.5439449053878669	0	15	498	110	3978.31	193.82959
C04_0000	C04	1.0589517188280375	0	5	333	79	3895.3657	160.57056
C04_0001	C04	1.0736608223265405	0	10	398	106	3802.7734	142.5747
C04_0002	C04	1.0897981212228767	0	8	240	95	3815.5059	148.35767
C04_0003	C04	1.071848864190333	0	18	385	68	3721.4023	139.43494
C04_0004	C04	1.0770635788286689	0	10	357	107	3611.462	144.28076
C04_0005	C04	1.0861060987042546	0	16	486	108	3844.3108	164.24805
C04_0006	C04	1.0519303125003936	0	8	368	72	3824.162	136.94678
C04_0007	C04	1.076192035625769	0	15	404	109	3689.6826	143.94604
C04_0008	C04	1.0724855422638044	0	20	515	117	3740.1377	129.224
C05_0000	C05	1.0346084396129849	0	15	428	143	4052.5825	171.4591
C05_0001	C05	1.0419562585703388	0	18	369	86	3876.5513	139.86072
C05_0002	C05	1.0360633408822606	0	9	351	65	3889.0278	139.09473
C05_0003	C05	1.0163281190432432	0	10	431	91	3843.4705	147.62793
C05_0004	C05	1.0189944124825157	0	15	334	104	3759.4443	132.37427
C05_0005	C05	1.0300138516479211	0	24	462	108	3919.9893	144.38269
C05_0006	C05	1.021890852453083	0	14	348	94	3933.0515	141.25732
C05_0007	C05	1.0295525484296915	0	16	481	65	3817.4092	150.00024
C05_0008	C05	1.022721350187649	0	9	360	76	3868.9375	139.2727
C06_0000	C06	1.0780225914720294	0	11	321	77	4100.5503	144.27393
C06_0001	C06	1.0809983877059173	0	10	369	83	3991.6572	150.88379
C06_0002	C06	1.1003912069006307	0	10	317	132	3978.8003	148.24512
C06_0003	C06	1.0849839761001163	0	21	359	109	3950.548	153.92432
C06_0004	C06	1.0678919433425698	0	14	448	116	3924.0515	155.104
C06_0005	C06	1.0784902964130165	0	12	364	105	4073.08	148.6698
C06_0006	C06	1.048575732545118	0	14	515	132	4231.216	160.99658
C06_0007	C06	1.0769807652777004	0	13	413	163	4080.83	154.53271
C06_0008	C06	1.0739313932300982	0	8	405	151	4144.9697	154.34204
C07_0000	C07	1.0145840900201162	0	20	440	98	4031.5437	149.29846
C07_0001	C07	1.014246632092752	0	9	336	74	3864.7139	139.20581
C07_0002	C07	1.013003664782701	0	11	370	128	3891.9722	143.25342
C07_0003	C07	1.009574912686438	0	20	379	94	3810.032	156.67603
C07_0004	C07	1.015977625746089	0	10	394	131	3678.2407	137.03809
C07_0005	C07	1.0191702648944558	0	11	273	65	3905.2417	134.9375
C07_0006	C07	1.011086379844215	0	17	418	134	3951.4775	157.57642
C07_0007	C07	1.016622465141594	0	30	447	86	3790.9866	153.96387
C07_0008	C07	0.9988082068936791	0	30	389	118	3830.8105	131.35767
C08_0000	C08	1.032329561108836	0	15	430	91	3969.5046	139.56384
C08_0001	C08	1.028451847336208	0	11	282	93	3864.878	138.39087
C08_0002	C08	1.0406649962662298	0	10	303	87	3864.7224	141.7721
C08_0003	C08	1.032727323741397	0	15	421	94	3790.2908	138.09534
C08_0004	C08	1.024782105553753	0	8	418	89	3724.9348	153.04932
C08_0005	C08	1.0308221079157576	0	7	305	79	3917.6128	135.32568
C08_0006	C08	1.020946865031905	0	13	538	130	3803.788	145.22388
C08_0007	C08	1.0293732436758485	0	22	499	171	3710.7666	151.38037
C08_0008	C08	1.0222413836046507	0	10	387	118	3824.0881	135.83789
C09_0000	C09	1.0492217781629638	0	18	452	142	3929.8794	140.48059
C09_0001	C09	1.046068655584485	0	9	400	126	3807.5635	134.34167
C09_0002	C09	nan	1	2	32	0	4111.2324	192.31665
C09_0003	C09	1.0639280474305013	0	12	361	87	3816.457	139.81982
C09_0004	C09	1.0348836555138807	0	21	439	97	3653.2546	140.00061
C09_0005	C09	1.0208300526354734	0	14	456	79	3859.8064	139.2002
C09_0006	C09	1.0508252883479152	0	13	370	87	3917.0427	143.06592
C09_0007	C09	1.056942495053671	0	18	494	127	3794.9932	154.95386
C09_0008	C09	1.0387461554833137	0	10	378	159	3870.5476	137.34424
C10_0000	C10	1.0691922404522403	0	30	418	162	3958.8662	146.10474
C10_0001	C10	1.0642515412507938	0	16	388	125	3888.0925	149.80298
C10_0002	C10	1.0706500228913896	0	14	383	139	3920.4084	136.32397
C10_0003	C10	1.078474479172358	0	18	438	168	3898.3164	150.27966
C10_0004	C10	1.0793674692688253	0	27	555	142	3712.45	141.06128
C10_0005	C10	1.077258865118878	0	15	351	122	3908.7705	149.16943
C10_0006	C10	1.078388911958096	0	20	599	171	3910.4973	163.89185
C10_0007	C10	1.068452578835864	0	12	406	115	3845.037	149.552
C10_0008	C10	1.0665275874676747	0	11	415	143	3929.207	148.26978
C11_0000	C11	1.0506848420670851	0	15	447	128	3938.8027	147.52124
C11_0001	C11	1.0550539472988845	0	12	512	119	3859.671	145.99707
C11_0002	C11	1.0567804933132108	0	20	460	157	3844.1963	142.07422
C11_0003	C11	1.042321845084436	0	17	491	141	3865.9993	153.59253
C11_0004	C11	1.0376055863945062	0	11	452	114	3768.9404	136.8125
C11_0005	C11	1.0453335319821768	0	8	352	130	3986.216	153.49292
C11_0006	C11	1.0472549621325202	0	22	604	174	3922.3599	160.90308
C11_0007	C11	1.0429235170576945	0	27	553	169	3832.9358	147.93152
C11_0008	C11	1.0473934714791127	0	14	381	75	3977.3525	159.30322
C12_0000	C12	1.0630853363322785	0	11	366	146	3999.707	158.73438
C12_0001	C12	1.077455127948829	0	19	543	155	3841.5413	131.0094
C12_0002	C12	1.0750034427387272	0	13	502	172	3912.0945	148.08667
C12_0003	C12	1.0610835937959098	0	21	519	155	3738.0078	134.98608
C12_0004	C12	1.069833853517913	0	22	469	102	3684.27	135.86462
C12_0005	C12	1.0482330394419797	0	16	519	127	3808.183	139.29199
C12_0006	C12	1.053883159017918	0	29	533	104	3978.3118	150.4895
C12_0007	C12	1.0628650886538111	0	28	547	205	3798.4192	162.27222
C12_0008	C12	1.0705499676470018	0	21	526	121	3844.9353	151.05493
D01_0000	D01	nan	1	11	7	639	3618.9185	129.82788
D01_0001	D01	nan	1	11	7	539	3493.708	122.257324
D01_0002	D01	nan	1	22	8	500	3550.722	119.46582
D01_0003	D01	nan	1	21	10	571	3506.4346	127.75708
D01_0004	D01	nan	1	26	10	712	3438.1777	135.70789
D01_0005	D01	nan	1	17	13	580	3513.0322	124.25195
D01_0006	D01	nan	1	22	10	619	3645.5974	131.6477
D01_0007	D01	nan	1	17	9	618	3516.0474	138.7107
D01_0008	D01	nan	1	7	9	616	3582.3674	122.16406
D02_0000	D02	1.0385406271693733	0	13	474	124	3737.4583	135.24072
D02_0001	D02	1.032083476035696	0	11	416	97	3706.959	127.89746
D02_0002	D02	1.0372954081238537	0	6	248	71	3818.9294	137.84766
D02_0003	D02	1.041635177703119	0	22	489	101	3719.7024	124.09766
D02_0004	D02	1.024886911654622	0	14	394	138	3543.5762	150.40186
D02_0005	D02	1.0448517930782077	0	16	511	132	3783.5327	163.13855
D02_0006	D02	1.0384166488295525	0	9	321	154	3777.5632	137.97778
D02_0007	D02	1.0500645932075603	0	12	521	153	3685.0789	146.06812
D02_0008	D02	1.0339514678407196	0	11	501	163	3792.209	144.95166
D03_0000	D03	1.030324734518776	0	10	527	106	3933.0027	152.08911
D03_0001	D03	1.025630759657422	0	18	398	135	3796.3496	143.16711
D03_0002	D03	1.0264131012854871	0	6	319	67	3855.444	147.48169
D03_0003	D03	1.0254797736730712	0	9	435	87	3732.1885	145.6958
D03_0004	D03	1.0057043791097768	0	12	373	89	3681.601	131.03052
D03_0005	D03	1.0192597694808578	0	10	399	82	3929.5825	142.82837
D03_0006	D03	1.0316420368097774	0	14	462	99	3944.249	151.57617
D03_0007	D03	1.011038590272027	0	18	567	116	3787.9302	140.37
D03_0008	D03	1.0124117540468163	0	15	428	137	3828.2122	133.36865
D04_0000	D04	1.039002337516455	0	14	452	123	3940.2417	131.12317
D04_0001	D04	1.0454625082162396	0	13	435	129	3958.8047	147.35034
D04_0002	D04	1.0377334965562162	0	11	322	78	3872.152	135.0813
D04_0003	D04	1.0290047521554444	0	7	403	116	3765.1682	142.1875
D04_0004	D04	1.029841690522885	0	27	413	111	3703.8154	130.84741
D04_0005	D04	1.0531953095107094	0	20	576	168	3776.1748	164.5769
D04_0006	D04	1.0444784285371689	0	16	394	127	3897.4292	141.22827
D04_0007	D04	1.0519793185219026	0	21	446	105	3791.9673	139.94836
D04_0008	D04	1.0305767251283817	0	21	385	95	3927.3853	151.1499
D05_0000	D05	1.045782534036867	0	10	325	85	3999.8606	143.45093
D05_0001	D05	1.037680385397384	0	16	364	106	3959.933	145.90063
D05_0002	D05	1.0380763362162408	0	15	365	84	3927.8184	136.83118
D05_0003	D05	1.0417394632167638	0	20	323	137	3834.5708	140.42725
D05_0004	D05	1.0407525979803154	0	14	440	128	3731.9238	145.41357
D05_0005	D05	1.0409156332699196	0	11	487	129	3778.4253	136.82617
D05_0006	D05	1.033150151916751	0	30	392	91	3839.7363	138.32837
D05_0007	D05	1.0297630139067078	0	21	384	101	3768.857	139.56982
D05_0008	D05	1.052387355099649	0	20	376	173	3787.5986	125.06555
D06_0000	D06	1.003301641933163	0	7	448	102	4139.87	152.6753
D06_0001	D06	1.0057791558965017	0	13	423	72	4075.4814	158.11548
D06_0002	D06	1.0055421726986937	0	15	385	91	3982.2324	154.55664
D06_0003	D06	1.0203540497217427	0	12	393	56	3877.0488	142.35046
D06_0004	D06	1.0151035208630887	0	13	388	87	3981.0676	169.86621
D06_0005	D06	1.0324925879686702	0	9	305	93	4057.857	148.54736
D06_0006	D06	1.0212803447207102	0	7	331	76	4257.009	148.70215
D06_0007	D06	1.016710868449115	0	29	541	122	4084.0317	167.2002
D06_0008	D06	1.0222436543437188	0	30	392	93	3974.407	143.2992
D07_0000	D07	1.0801531689343393	0	15	415	87	4139.239	139.62036
D07_0001	D07	1.093942851468684	0	12	307	80	3975.4106	161.43909
D07_0002	D07	1.0922405906303871	0	11	357	83	3970.4531	141.70361
D07_0003	D07	1.0627874584043315	0	13	367	138	3925.5344	147.82788
D07_0004	D07	1.0833603757843866	0	19	440	201	3978.8857	140.15808
D07_0005	D07	1.0793671584817044	0	14	353	74	4088.0527	154.71179
D07_0006	D07	1.0687056296390665	0	13	499	60	4134.691	146.67896
D07_0007	D07	1.0874457972423184	0	22	474	126	4047.3223	159.06201
D07_0008	D07	1.0729777964850298	0	17	495	96	4016.8926	178.89746
